Time,Temp,RH,Pressure,Gas,Lat,Lon,RSSI,Flag,Reset,Heap1,Heap2,CPU_Temp,Td,J11
21:21:59,2.66,74.98,1009.72,40781,51.787179,-4.002579,-44,0,POWERON,202140,177408,56.1,-1.325262840746496,1.0125047511193632
21:27:00,2.62,74.99,1009.7,40623,51.787219,-4.002531,-45,0,POWERON,202148,177408,55.6,-1.362132969102391,0.9217532088973738
21:32:46,2.58,74.98,1009.68,40702,51.787246,-4.002716,-45,0,POWERON,202148,177408,56.1,-1.4026323978618782,1.0124857189871819
21:37:46,2.55,74.96,1009.66,40821,51.7872,-4.003158,-44,0,POWERON,202148,177408,56.7,-1.4352738521986865,1.0880484778936015
21:42:46,2.51,74.96,1009.65,40861,51.787189,-4.002494,-42,0,POWERON,202148,177408,56.1,-1.4739579232620625,0.9671017765843994
21:47:46,2.47,74.93,1009.64,41102,51.787179,-4.002523,-43,0,POWERON,202148,177408,56.1,-1.5180817254061507,1.1030950536022157
21:52:46,2.43,74.93,1009.61,40901,51.787277,-4.002654,-43,0,POWERON,202148,177408,56.1,-1.5567644421417752,0.9670679183906119
21:57:46,2.4,74.94,1009.58,41347,51.787198,-4.002616,-43,0,POWERON,202148,177408,56.1,-1.5839642729013246,0.9066610253183041
22:02:46,2.37,74.93,1009.56,41183,51.787242,-4.002734,-42,0,POWERON,202148,177408,56.1,-1.6147889184238158,1.0274881840830468
22:07:46,2.34,74.93,1009.53,41429,51.787181,-4.002484,-44,0,POWERON,202148,177408,56.1,-1.6438013370968305,0.9670806224338167
22:12:46,2.31,74.89,1009.51,41718,51.78728,-4.002545,-42,0,POWERON,202148,177408,56.1,-1.6800600609912368,1.2086241298135518
22:17:46,2.28,74.9,1009.46,41594,51.787157,-4.002544,-42,0,POWERON,202148,177408,56.1,-1.7072595172164147,0.9066485408392535
22:22:46,2.26,74.89,1009.41,41552,51.787353,-4.002594,-43,0,POWERON,202148,177408,56.1,-1.728411591486631,1.057603713510812
22:27:47,2.23,74.86,1009.34,41594,51.787189,-4.002535,-43,0,POWERON,202148,177408,55.6,-1.7628559937838073,1.14814674323922
22:33:33,2.2,74.86,1009.3,41760,51.78723,-4.00286,-43,0,POWERON,202148,177408,55.6,-1.7918658573582569,0.9669954524816585
22:38:33,2.17,74.85,1009.27,41760,51.787239,-4.00276,-42,0,POWERON,202148,177408,55.6,-1.8226864868134842,1.0273543151742364
22:43:33,2.15,74.84,1009.25,42012,51.787112,-4.002721,-45,0,POWERON,202148,177408,55.6,-1.843836808853966,1.057516102024091
22:48:33,2.12,74.83,1009.22,42054,51.787174,-4.002883,-44,0,POWERON,202148,177408,56.1,-1.87465643477526,1.0273208640431346
